Designator,Val,Package,Mix X,Mid Y,Rotation,Layer
"5v    12v","VSEL","PinHeader_1x03_P2.54mm_Vertical",81.000000,-64.680000,180.000000,top
"C3","10uF","C_0402_1005Metric",79.170000,-22.700000,180.000000,top
"C4",".1uF","C_0603_1608Metric",79.125000,-21.475000,180.000000,top
"C5","1uF","C_0603_1608Metric",79.125000,-19.950000,0.000000,top
"C6","100uF 50v","CP_Elec_6.3x5.3",89.040000,-35.610000,-90.000000,top
"C7","330uF 16V","CP_Elec_6.3x7.7",81.800000,-41.500000,0.000000,top
"C8","C","C_0402_1005Metric",86.020000,-63.800000,180.000000,top
"CH0","CH0","JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical",97.750000,-39.837500,90.000000,top
"CH1","CH1","JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical",97.760000,-52.700000,90.000000,top
"D1","D_Schottky","D_SOD-123",88.360000,-44.100000,90.000000,top
"FET2","AONR21307","DFN-10-1EP_3x3mm_P0.5mm_EP1.58x2.35mm",89.795000,-61.510000,180.000000,top
"J1","USB-C","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",98.085000,-60.600000,-90.000000,top
"J2","I2C_STANDARDQWIIC","JST04_1MM_RA",98.255000,-25.900000,90.000000,top
"L1","330uH","L_1812_4532Metric",91.530000,-43.517500,90.000000,top
"R3","10k","R_0603_1608Metric",81.400000,-22.225000,90.000000,top
"R4","5.1K","R_0402_1005Metric",84.110000,-63.800000,180.000000,top
"R5","49.9K","R_0402_1005Metric",87.940000,-63.800000,180.000000,top
"R12","10k","R_0402_1005Metric",83.340000,-58.770000,-90.000000,top
"RR1","5.1k","R_0402_1005Metric",93.350000,-61.490000,90.000000,top
"RR2","5.1k","R_0402_1005Metric",93.350000,-58.850000,-90.000000,top
"RS1","33K","R_0603_1608Metric",92.740000,-64.105000,90.000000,top
"U2","ESP32-C3-MINI-1","ESP32-C3-MINI-1",90.000000,-20.900000,0.000000,top
"U3","LM2575-3.3BU","TO-263-5_TabPin3",83.350000,-52.175000,180.000000,top
"U4","HUSB238","DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm",85.010000,-61.505000,180.000000,top
