Designator,Mid X,Mid Y,Rotation,Layer
5v    12v1,81.0,-62.155,180.0,top
C1,95.425,-63.2,180.0,top
C2,96.2,-68.525,270.0,top
C3,79.18,-24.1,180.0,top
C4,79.1,-21.79,180.0,top
C5,77.68,-20.45,270.0,top
C6,89.04,-35.61,90.0,top
C7,81.8,-41.5,180.0,top
C8,86.03,-62.93,180.0,top
C9,77.69,-23.94,90.0,top
CH0,98.3,-36.1,90.0,top
CH1,98.31,-48.9625,90.0,top
D1,88.36,-44.1,90.0,top
D2,101.6625,-57.69,0.0,top
D3,101.7125,-60.56,0.0,top
D4,101.6975,-63.45,0.0,top
J1,89.95,-68.825,0.0,top
J2,100.255,-25.9,90.0,top
L1,91.53,-43.5175,90.0,top
Q1,90.297001,-60.055001,180.0,top
R1,96.9,-64.7,0.0,top
R10,82.68,-22.34,90.0,top
R11,82.69,-24.21,90.0,top
R2,96.925,-66.25,0.0,top
R3,80.53,-22.27,270.0,top
R4,84.11,-62.94,180.0,top
R5,87.94,-63.14,180.0,top
R6,83.74,-58.3,0.0,top
R7,99.12,-57.9,180.0,top
R8,99.16,-60.1,180.0,top
R9,99.16,-62.33,180.0,top
RR1,93.35,-60.63,90.0,top
RR2,84.05,-68.29,270.0,top
RS1,83.86,-64.955,90.0,top
SW1,80.78,-19.33,90.0,top
U2,90.0,-20.9,0.0,top
U3,83.35,-52.175,180.0,top
U4,85.01,-60.645,90.0,top
